Entity,share
Norway,97.0
Denmark,71.0
Nepal,68.0
Iceland,62.0
Sweden,61.0
Netherlands,58.0
Finland,57.0
China,53.0
Belgium,44.0
Vietnam,40.0
Portugal,38.0
Singapore,37.0
Laos,36.0
United Kingdom,35.0
Luxembourg,35.0
Switzerland,34.0
Ireland,34.0
Austria,31.0
Germany,30.0
Europe,28.0
European Union (27),27.0
France,26.0
Thailand,23.0
Turkey,22.0
Israel,21.0
Spain,20.0
Latvia,19.0
Lithuania,18.0
Costa Rica,17.0
Estonia,17.0
Australia,15.0
Slovenia,15.0
Indonesia,15.0
Cyprus,15.0
Hungary,14.0
Poland,14.0
Greece,14.0
Italy,13.0
Jordan,12.0
New Zealand,12.0
South Korea,11.0
Canada,11.0
Philippines,10.0
Czechia,10.0
Colombia,10.0
United States,10.0
Slovakia,9.1
United Arab Emirates,9.0
Brazil,9.0
Malaysia,7.0
Mexico,7.0
Uzbekistan,6.0
Bulgaria,6.0
Romania,5.6
Croatia,5.4
Cambodia,5.0
India,4.0
Chile,4.0
Japan,3.0
Russia,2.0
South Africa,0.9
