Year,coal,solar,wind,hydropower,nuclear,gas,bioenergy,oil,solar_wind,total
2000,390.23,0.01,1.58,76.99,15.77,55.96,1.69,29.16,1.59,571.39
2001,408.29,0.01,2.09,72.02,18.89,55.93,2.07,26.79,2.0999999999999996,586.0899999999999
2002,426.7,0.01,2.09,68.54,19.35,62.88,2.14,27.93,2.0999999999999996,609.6399999999999
2003,441.47,0.02,2.6,69.3,18.14,72.8,2.71,31.09,2.62,638.13
2004,463.01,0.02,5.23,100.64,21.26,76.58,3.31,28.27,5.25,698.3199999999999
2005,478.48,0.02,5.99,97.42,17.73,75.47,4.04,25.37,6.01,704.52
2006,505.46,0.01,9.34,112.62,17.63,74.7,5.59,19.08,9.35,744.4300000000001
2007,533.27,0.06,11.68,122.61,17.83,90.05,7.4,13.36,11.74,796.2599999999999
2008,573.12,0.06,14.38,115.17,15.23,85.88,9.3,15.27,14.440000000000001,828.4099999999999
2009,611.11,0.08,16.27,106.34,16.82,104.37,10.56,13.08,16.349999999999998,878.6300000000001
2010,642.97,0.11,19.46,108.74,23.08,118.03,13.22,10.78,19.57,936.3900000000001
2011,701.25,0.83,23.95,131.7,32.22,117.56,15.46,9.35,24.779999999999998,1032.32
2012,787.13,2.1,27.43,115.78,33.14,96.25,16.52,10.07,29.53,1088.4199999999998
2013,847.97,3.43,30.01,131.98,33.31,66.31,17.57,10.65,33.440000000000005,1141.23
2014,949.93,4.91,33.45,139.0,34.69,64.01,21.14,11.55,38.36,1258.68
2015,1006.55,7.09,32.74,133.48,38.31,64.77,18.36,9.26,39.83,1310.5599999999997
2016,1073.6,12.2,43.45,128.55,37.9,72.62,17.2,9.41,55.650000000000006,1394.9300000000003
2017,1115.24,22.36,52.63,135.98,37.41,74.99,14.99,8.79,74.99000000000001,1462.39
2018,1198.86,37.45,60.31,139.92,39.05,71.26,18.4,6.4,97.76,1571.65
2019,1198.76,37.45,63.31,162.29,45.16,71.95,18.99,3.07,100.76,1600.98
2020,1143.78,52.91,60.43,163.94,44.61,74.79,19.88,3.09,113.34,1563.43
2021,1255.56,65.59,68.09,160.57,43.92,60.4,21.2,3.39,133.68,1678.72
2022,1344.42,95.92,70.05,175.09,46.19,46.17,23.29,3.48,165.97,1804.6100000000001
2023,1445.44,115.42,82.11,149.43,48.2,50.8,23.01,3.85,197.53,1918.26
2024,1517.9,143.07,81.54,156.53,54.7,56.44,22.25,4.09,224.61,2036.52
2025,1474.15,195.99,103.98,177.97,53.83,48.54,23.04,4.1,299.97,2081.6
