year,matches,rpo,powerplay,middle,death,six_pct,wickets_per_match,pct_200,avg_total,over_200,innings
2008,58,7.98,7.33,7.72,9.56,4.62,11.9,12.1,161.0,7.0,58
2009,57,7.2,6.85,6.67,8.76,3.72,12.2,1.8,150.3,1.0,57
2010,60,7.81,7.5,7.33,9.21,4.04,12.0,8.3,164.8,5.0,60
2011,73,7.46,6.91,7.24,8.74,3.76,11.1,5.5,152.4,4.0,73
2012,74,7.58,6.97,7.2,9.17,4.13,11.6,5.4,157.5,4.0,74
2013,76,7.45,6.69,7.07,9.22,3.72,12.0,5.3,155.9,4.0,76
2014,60,7.94,7.25,7.58,9.62,5.0,11.2,8.3,163.1,5.0,60
2015,59,8.06,7.44,7.61,9.86,5.07,11.6,11.9,166.3,7.0,59
2016,60,8.03,7.43,7.65,9.69,4.53,11.1,8.3,162.6,5.0,60
2017,59,8.13,8.04,7.67,9.22,5.09,12.0,13.6,165.8,8.0,59
2018,60,8.36,8.17,7.84,9.62,6.1,12.0,18.3,172.5,11.0,60
2019,60,8.14,7.93,7.51,9.66,5.49,11.4,13.3,166.7,8.0,60
2020,60,8.0,7.43,7.48,9.78,5.07,11.1,15.0,169.5,9.0,60
2021,60,7.75,7.49,7.36,8.87,4.77,12.0,10.0,159.3,6.0,60
2022,74,8.17,7.54,7.79,9.76,5.93,12.3,17.6,171.1,13.0,74
2023,74,8.63,8.39,8.18,9.81,6.29,12.4,32.4,182.7,24.0,74
2024,71,9.11,9.09,8.49,10.37,7.37,12.4,36.6,189.6,26.0,71
2025,74,9.21,9.21,8.7,10.26,7.53,11.8,44.6,188.8,33.0,74
2026,74,9.4,9.64,8.91,10.08,8.14,11.9,51.4,193.0,38.0,74
