country_name,pct_local,rank,of_countries
Japan,41.8,1,93
South Korea,39.3,2,93
Thailand,24.9,3,93
Indonesia,24.8,4,93
Taiwan,24.4,5,93
Malaysia,19.3,6,93
Philippines,17.0,7,93
Vietnam,16.0,8,93
Turkey,14.2,9,93
Nigeria,13.1,10,93
Poland,12.1,11,93
Italy,12.0,12,93
Singapore,11.7,13,93
Brazil,11.6,14,93
Ireland,11.5,15,93
Hong Kong,11.0,16,93
United Kingdom,10.8,17,93
Spain,10.3,18,93
United States,10.3,18,93
Czech Republic,9.7,20,93
France,8.8,21,93
Canada,7.5,22,93
New Zealand,7.0,23,93
Australia,6.9,24,93
Slovakia,6.9,24,93
India,6.9,24,93
Netherlands,6.8,27,93
Réunion,6.3,28,93
Ukraine,6.3,28,93
Germany,6.3,28,93
Egypt,6.3,28,93
Austria,5.7,32,93
New Caledonia,5.6,33,93
Romania,5.0,34,93
Kenya,4.6,35,93
Israel,4.4,36,93
Martinique,4.2,37,93
Sweden,4.2,37,93
Bangladesh,4.1,39,93
South Africa,4.1,39,93
Guadeloupe,4.1,39,93
Uruguay,3.8,42,93
Denmark,3.8,42,93
Norway,3.7,44,93
Bahamas,3.6,45,93
Argentina,3.5,46,93
Saudi Arabia,3.3,47,93
Finland,3.2,48,93
Portugal,3.1,49,93
Jordan,2.9,50,93
Hungary,2.9,50,93
Switzerland,2.8,52,93
Mexico,2.8,52,93
Pakistan,2.8,52,93
Malta,2.6,55,93
Maldives,2.5,56,93
Jamaica,2.5,56,93
Greece,2.4,58,93
Belgium,2.3,59,93
Sri Lanka,2.1,60,93
Qatar,2.0,61,93
Iceland,2.0,61,93
Trinidad and Tobago,2.0,61,93
Kuwait,1.9,64,93
Lebanon,1.8,65,93
United Arab Emirates,1.7,66,93
Colombia,1.6,67,93
Luxembourg,1.4,68,93
Croatia,1.3,69,93
Mauritius,1.3,69,93
Peru,1.1,71,93
Lithuania,1.0,72,93
Chile,1.0,72,93
Cyprus,1.0,72,93
Estonia,0.9,75,93
Bahrain,0.9,75,93
Oman,0.9,75,93
Venezuela,0.9,75,93
Dominican Republic,0.8,79,93
Bolivia,0.7,80,93
Morocco,0.7,80,93
Paraguay,0.7,80,93
Bulgaria,0.7,80,93
Latvia,0.7,80,93
Ecuador,0.6,85,93
El Salvador,0.6,85,93
Slovenia,0.6,85,93
Guatemala,0.5,88,93
Honduras,0.4,89,93
Panama,0.4,89,93
Serbia,0.3,91,93
Nicaragua,0.3,91,93
Costa Rica,0.1,93,93
